fid,Nom,commune,type_pasto,Governance,surface_m2,slope_mean,slope_stde,aspect_mean,aspect_stde,roughness_mean,roughness_stde,year,NDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,NDVI_std,SAVI_std,MSAVI_std,NDRE_std,NDVI_amplitude,SAVI_amplitude,MSAVI_amplitude,NDRE_amplitude
64,C2-LDT,Castrils,LDT,flexible,773149.825,15.5505009339239,8.03556823882163,167.858314942269,74.9014547656744,89.5131382363556,107.60963240034,"2019","0.2624143626","0.1925972539","0.1773767072","0.1751811392","0.06896709532","0.04609383265","0.04327611621","0.0420382096","0.1839974669","0.1237872734","0.1162506775","0.1112360621"
65,C2-LDT,Castrils,LDT,flexible,773149.825,15.5505009339239,8.03556823882163,167.858314942269,74.9014547656744,89.5131382363556,107.60963240034,"2018","0.2253384273","0.1593778143","0.144627592","0.151148471","0.05385226683","0.0423321721","0.04083406298","0.03816979967","0.1382007501","0.1097579715","0.1059287085","0.09858986349"
66,C2-LDT,Castrils,LDT,flexible,773149.825,15.5505009339239,8.03556823882163,167.858314942269,74.9014547656744,89.5131382363556,107.60963240034,"2017","0.2457660125","0.1779021773","0.162749421","0.1656779937","0.0627518152","0.04527239071","0.0429070493","0.03968375235","0.1520885678","0.111138893","0.1058850013","0.09641222126"
67,C1-LDT,Castril,LDT,flexible,773149.652,16.8580718029852,7.20431112061208,199.722298354536,85.8233399901065,69.25376659942,96.5404991920185,"2022","0.1959998149","0.1415973407","0.1289576111","0.1295121315","0.08215366838","0.05115568538","0.04609937872","0.05708769508","0.2203967496","0.1360300394","0.122042111","0.1548673427"
68,C1-LDT,Castril,LDT,flexible,773149.652,16.8580718029852,7.20431112061208,199.722298354536,85.8233399901065,69.25376659942,96.5404991920185,"2021","0.2831177546","0.193797793","0.1757340379","0.1832121846","0.06600262303","0.04173676474","0.03885068114","0.03736261722","0.1681941792","0.1081148942","0.1010409378","0.09489333242"
69,C1-LDT,Castril,LDT,flexible,773149.652,16.8580718029852,7.20431112061208,199.722298354536,85.8233399901065,69.25376659942,96.5404991920185,"2020","0.2604182712","0.1763819486","0.1594768087","0.172072205","0.06967289957","0.04119221452","0.03817624089","0.04270603455","0.1642261811","0.09734770646","0.09022357836","0.1003496314"
70,C1-LDT,Castril,LDT,flexible,773149.652,16.8580718029852,7.20431112061208,199.722298354536,85.8233399901065,69.25376659942,96.5404991920185,"2019","0.2403445315","0.1712836391","0.1561446411","0.1581438896","0.06667543473","0.04374895555","0.04064809586","0.0423627377","0.1756144664","0.1164703998","0.108348069","0.1111945091"
71,C1-LDT,Castril,LDT,flexible,773149.652,16.8580718029852,7.20431112061208,199.722298354536,85.8233399901065,69.25376659942,96.5404991920185,"2018","0.1956392757","0.1358184877","0.1221221926","0.1275105327","0.08587656797","0.06452752209","0.0608352717","0.06377073958","0.2205918493","0.166302684","0.1568493041","0.1636427243"
72,C1-LDT,Castril,LDT,flexible,773149.652,16.8580718029852,7.20431112061208,199.722298354536,85.8233399901065,69.25376659942,96.5404991920185,"2017","0.2225945628","0.155192333","0.1403139876","0.1499317261","0.04550472527","0.03184994816","0.0302165759","0.0281696509","0.1116298154","0.07565780113","0.07139118994","0.06965726925"
73,C3-LDT,Castril,LDT,flexible,773148.347,10.3768662750667,5.38755487961491,160.10136174635,76.0772536351564,90.6662149160314,114.57008577892,"2022","0.1984324358","0.139758757","0.1261265156","0.1305705598","0.06031400827","0.03522054588","0.03175679777","0.04137467675","0.1581315231","0.09243964396","0.08305517315","0.1089889993"
74,C3-LDT,Castril,LDT,flexible,773148.347,10.3768662750667,5.38755487961491,160.10136174635,76.0772536351564,90.6662149160314,114.57008577892,"2021","0.2924338596","0.1950700038","0.1755119421","0.1858672802","0.07204550415","0.04526767802","0.04177098305","0.03994838585","0.1847908797","0.1166987183","0.1078270982","0.1025288916"
75,C3-LDT,Castril,LDT,flexible,773148.347,10.3768662750667,5.38755487961491,160.10136174635,76.0772536351564,90.6662149160314,114.57008577892,"2020","0.2707382757","0.1846987619","0.1666928573","0.1752636963","0.07298890473","0.04573052524","0.04235727873","0.04184087253","0.1763084332","0.1104221701","0.1021821282","0.100621879"
76,C3-LDT,Castril,LDT,flexible,773148.347,10.3768662750667,5.38755487961491,160.10136174635,76.0772536351564,90.6662149160314,114.57008577892,"2019","0.2384370078","0.1658058037","0.1498444368","0.1543202153","0.06867417212","0.04380239126","0.04020367863","0.04307341861","0.1773227232","0.1149745203","0.1058216973","0.1112903054"
77,C3-LDT,Castril,LDT,flexible,773148.347,10.3768662750667,5.38755487961491,160.10136174635,76.0772536351564,90.6662149160314,114.57008577892,"2018","0.2064481546","0.1406904098","0.1256656398","0.1340266075","0.07224178255","0.05246321076","0.04923621064","0.05681929503","0.1868332591","0.1355488165","0.1271958236","0.1458421033"
78,C3-LDT,Castril,LDT,flexible,773148.347,10.3768662750667,5.38755487961491,160.10136174635,76.0772536351564,90.6662149160314,114.57008577892,"2017","0.2408275572","0.1654747777","0.148923803","0.1598031196","0.06247415812","0.04285652802","0.03994785867","0.03755350836","0.1477565503","0.09913918139","0.09244739341","0.09015952109"
79,C2-SDT,Castril,SDT,flexible,773146.583,8.7355436380878,4.19910824828095,232.927091092116,83.770899840437,99.3546906165242,126.043830763557,"2022","0.2066848386","0.1473439875","0.1349089756","0.1388642777","0.08484042785","0.05112356585","0.04628134762","0.06078024539","0.2240942053","0.1353884294","0.1227474947","0.1612563701"
80,C2-SDT,Castril,SDT,flexible,773146.583,8.7355436380878,4.19910824828095,232.927091092116,83.770899840437,99.3546906165242,126.043830763557,"2021","0.3326613793","0.2215045222","0.201411452","0.2198533987","0.06824286017","0.04405641018","0.04182285001","0.0408507481","0.1759795504","0.1150607053","0.1096631694","0.1052282582"
81,C2-SDT,Castril,SDT,flexible,773146.583,8.7355436380878,4.19910824828095,232.927091092116,83.770899840437,99.3546906165242,126.043830763557,"2020","0.3212532273","0.2201841363","0.2013495248","0.2154974173","0.06891796055","0.04315873456","0.04121741657","0.042815328","0.1664962396","0.1037586368","0.09904462102","0.1035037463"
82,C2-SDT,Castril,SDT,flexible,773146.583,8.7355436380878,4.19910824828095,232.927091092116,83.770899840437,99.3546906165242,126.043830763557,"2019","0.2753683786","0.1889171034","0.1717595818","0.1854617324","0.07201267585","0.04574793731","0.04282230254","0.04787808453","0.1901246556","0.1214083054","0.1136015786","0.126279224"
83,C2-SDT,Castril,SDT,flexible,773146.583,8.7355436380878,4.19910824828095,232.927091092116,83.770899840437,99.3546906165242,126.043830763557,"2018","0.2438477604","0.1652952473","0.149281214","0.1650885485","0.05607313374","0.03849593614","0.03601629389","0.04705567165","0.1453949777","0.09895183007","0.09273819896","0.1212482479"
84,C2-SDT,Castril,SDT,flexible,773146.583,8.7355436380878,4.19910824828095,232.927091092116,83.770899840437,99.3546906165242,126.043830763557,"2017","0.2715858814","0.1880240234","0.1711864222","0.1862807074","0.06836357575","0.04509027917","0.04262448844","0.04464210018","0.1544864018","0.1023820947","0.09710385191","0.1024867039"
